sequence,label
"[[np.float64(0.16930031776428228), np.float64(5.871979648236063), np.float64(0.16930031776428228)], [np.float64(0.7460916042327881), np.float64(1.338523943160801), np.float64(0.5767912864685059)], [np.float64(0.006784200668334961), np.float64(128.46534186456165), np.float64(-0.7393074035644531)], [np.float64(0.008364200592041016), np.float64(106.78968163603173), np.float64(0.0015799999237060547)], [np.float64(0.007218122482299583), np.float64(121.68229448439438), np.float64(-0.001146078109741433)], [np.float64(0.005831241607666016), np.float64(146.3862731597431), np.float64(-0.001386880874633567)], [np.float64(0.007113456726074441), np.float64(123.25202854490765), np.float64(0.0012822151184084252)], [np.float64(0.0016834735870361328), np.float64(372.6513295420541), np.float64(-0.005429983139038308)], [np.float64(0.006631135940551758), np.float64(131.04208964303896), np.float64(0.004947662353515625)], [np.float64(0.00605463981628418), np.float64(141.7506812596876), np.float64(-0.0005764961242675781)], [np.float64(0.00881052017211914), np.float64(101.93139430485397), np.float64(0.002755880355834961)], [np.float64(0.08653903007507324), np.float64(11.423475895750759), np.float64(0.0777285099029541)], [np.float64(0.03038334846496582), np.float64(31.864031370531738), np.float64(-0.05615568161010742)], [np.float64(0.10938668251037598), np.float64(9.05906380424109), np.float64(0.07900333404541016)], [np.float64(0.049048662185668945), np.float64(19.980554051379666), np.float64(-0.06033802032470703)], [np.float64(0.09888195991516113), np.float64(10.011817958412022), np.float64(0.04983329772949219)], [np.float64(0.14393377304077126), np.float64(6.899703078306603), np.float64(0.04505181312561013)], [np.float64(0.02253437042236328), np.float64(42.49104531174375), np.float64(-0.12139940261840798)], [np.float64(0.11488914489746116), np.float64(8.628935875614589), np.float64(0.09235477447509788)], [np.float64(0.010123491287231667), np.float64(89.89983218199406), np.float64(-0.10476565361022949)], [np.float64(0.17816710472106956), np.float64(5.5813817026111865), np.float64(0.1680436134338379)], [np.float64(0.13259434700012163), np.float64(7.485346666645181), np.float64(-0.04557275772094793)], [np.float64(0.17122673988342285), np.float64(5.806299304491752), np.float64(0.038632392883301225)], [np.float64(0.22997665405273438), np.float64(4.329441882778723), np.float64(0.05874991416931152)], [np.float64(0.009096622467041016), np.float64(99.0430218881965), np.float64(-0.22088003158569336)], [np.float64(0.07998490333557129), np.float64(12.347980411316566), np.float64(0.07088828086853027)], [np.float64(0.07448005676269531), np.float64(13.248532697106189), np.float64(-0.0055048465728759766)], [np.float64(0.05051827430725053), np.float64(19.41058805728015), np.float64(-0.02396178245544478)], [np.float64(0.1821680068969731), np.float64(5.459468697295331), np.float64(0.13164973258972257)], [np.float64(0.06895017623901367), np.float64(14.295889642694922), np.float64(-0.11321783065795943)]]",low
"[[np.float64(0.09888195991516113), np.float64(10.011817958412022), np.float64(0.09888195991516113)], [np.float64(0.14393377304077126), np.float64(6.899703078306603), np.float64(0.04505181312561013)], [np.float64(0.02253437042236328), np.float64(42.49104531174375), np.float64(-0.12139940261840798)], [np.float64(0.11488914489746116), np.float64(8.628935875614589), np.float64(0.09235477447509788)], [np.float64(0.010123491287231667), np.float64(89.89983218199406), np.float64(-0.10476565361022949)], [np.float64(0.17816710472106956), np.float64(5.5813817026111865), np.float64(0.1680436134338379)], [np.float64(0.13259434700012163), np.float64(7.485346666645181), np.float64(-0.04557275772094793)], [np.float64(0.17122673988342285), np.float64(5.806299304491752), np.float64(0.038632392883301225)], [np.float64(0.22997665405273438), np.float64(4.329441882778723), np.float64(0.05874991416931152)], [np.float64(0.009096622467041016), np.float64(99.0430218881965), np.float64(-0.22088003158569336)], [np.float64(0.07998490333557129), np.float64(12.347980411316566), np.float64(0.07088828086853027)], [np.float64(0.07448005676269531), np.float64(13.248532697106189), np.float64(-0.0055048465728759766)], [np.float64(0.05051827430725053), np.float64(19.41058805728015), np.float64(-0.02396178245544478)], [np.float64(0.1821680068969731), np.float64(5.459468697295331), np.float64(0.13164973258972257)], [np.float64(0.06895017623901367), np.float64(14.295889642694922), np.float64(-0.11321783065795943)], [np.float64(0.0010187625885009766), np.float64(495.3529482347628), np.float64(-0.0679314136505127)], [np.float64(0.04921841621398926), np.float64(19.913013499645807), np.float64(0.04819965362548828)], [np.float64(0.01351475715637207), np.float64(68.89539998683296), np.float64(-0.03570365905761719)], [np.float64(0.0025827884674072266), np.float64(279.1122080181515), np.float64(-0.010931968688964844)], [np.float64(0.031884193420410156), np.float64(30.409746932680804), np.float64(0.02930140495300293)], [np.float64(0.042803287506103516), np.float64(22.82933672183077), np.float64(0.01091909408569336)], [np.float64(0.018289804458618164), np.float64(51.84085728527056), np.float64(-0.02451348304748535)], [np.float64(0.020640134811401367), np.float64(46.210433008630694), np.float64(0.002350330352783203)], [np.float64(0.011471748352050781), np.float64(80.18122012825619), np.float64(-0.009168386459350586)], [np.float64(0.02178025245666504), np.float64(43.89766978668493), np.float64(0.010308504104614258)], [np.float64(0.009860515594482422), np.float64(92.07665983261789), np.float64(-0.011919736862182617)], [np.float64(0.029615163803100586), np.float64(32.663552167528294), np.float64(0.019754648208618164)], [np.float64(0.032111883163451704), np.float64(30.200638093087434), np.float64(0.0024967193603511184)], [np.float64(0.0015435218811039597), np.float64(393.1556506075631), np.float64(-0.030568361282347745)], [np.float64(0.02994680404663086), np.float64(32.313514458332854), np.float64(0.0284032821655269)]]",low
"[[np.float64(0.0010187625885009766), np.float64(495.3529482347628), np.float64(0.0010187625885009766)], [np.float64(0.04921841621398926), np.float64(19.913013499645807), np.float64(0.04819965362548828)], [np.float64(0.01351475715637207), np.float64(68.89539998683296), np.float64(-0.03570365905761719)], [np.float64(0.0025827884674072266), np.float64(279.1122080181515), np.float64(-0.010931968688964844)], [np.float64(0.031884193420410156), np.float64(30.409746932680804), np.float64(0.02930140495300293)], [np.float64(0.042803287506103516), np.float64(22.82933672183077), np.float64(0.01091909408569336)], [np.float64(0.018289804458618164), np.float64(51.84085728527056), np.float64(-0.02451348304748535)], [np.float64(0.020640134811401367), np.float64(46.210433008630694), np.float64(0.002350330352783203)], [np.float64(0.011471748352050781), np.float64(80.18122012825619), np.float64(-0.009168386459350586)], [np.float64(0.02178025245666504), np.float64(43.89766978668493), np.float64(0.010308504104614258)], [np.float64(0.009860515594482422), np.float64(92.07665983261789), np.float64(-0.011919736862182617)], [np.float64(0.029615163803100586), np.float64(32.663552167528294), np.float64(0.019754648208618164)], [np.float64(0.032111883163451704), np.float64(30.200638093087434), np.float64(0.0024967193603511184)], [np.float64(0.0015435218811039597), np.float64(393.1556506075631), np.float64(-0.030568361282347745)], [np.float64(0.02994680404663086), np.float64(32.313514458332854), np.float64(0.0284032821655269)], [np.float64(0.01017355918884233), np.float64(89.49699760829816), np.float64(-0.01977324485778853)], [np.float64(0.02792906761169478), np.float64(34.56730833577723), np.float64(0.01775550842285245)], [np.float64(0.025799274444580078), np.float64(37.31444304837295), np.float64(-0.002129793167114702)], [np.float64(0.019940137863158736), np.float64(47.755177474708084), np.float64(-0.0058591365814213425)], [np.float64(0.009868144989014116), np.float64(92.01202238384134), np.float64(-0.01007199287414462)], [np.float64(0.03160309791564986), np.float64(30.671931930738047), np.float64(0.021734952926635742)], [np.float64(0.03345441818237305), np.float64(29.02385391350483), np.float64(0.0018513202667231887)], [np.float64(0.030147790908813032), np.float64(32.105005550074424), np.float64(-0.0033066272735600144)], [np.float64(0.029054164886475053), np.float64(33.27325859085904), np.float64(-0.001093626022337979)], [np.float64(0.04648375511169389), np.float64(21.0598339926517), np.float64(0.01742959022521884)], [np.float64(0.12020206451416016), np.float64(8.25068454079979), np.float64(0.07371830940246626)], [np.float64(0.02420139312744185), np.float64(39.680346040517016), np.float64(-0.0960006713867183)], [np.float64(0.001684427261352095), np.float64(372.5189407800601), np.float64(-0.022516965866089755)], [np.float64(0.025801420211791992), np.float64(37.31145559070126), np.float64(0.024116992950439897)], [np.float64(0.1951456069946289), np.float64(5.09825336046085), np.float64(0.16934418678283691)]]",low
"[[np.float64(0.01017355918884233), np.float64(89.49699760829816), np.float64(0.01017355918884233)], [np.float64(0.02792906761169478), np.float64(34.56730833577723), np.float64(0.01775550842285245)], [np.float64(0.025799274444580078), np.float64(37.31444304837295), np.float64(-0.002129793167114702)], [np.float64(0.019940137863158736), np.float64(47.755177474708084), np.float64(-0.0058591365814213425)], [np.float64(0.009868144989014116), np.float64(92.01202238384134), np.float64(-0.01007199287414462)], [np.float64(0.03160309791564986), np.float64(30.671931930738047), np.float64(0.021734952926635742)], [np.float64(0.03345441818237305), np.float64(29.02385391350483), np.float64(0.0018513202667231887)], [np.float64(0.030147790908813032), np.float64(32.105005550074424), np.float64(-0.0033066272735600144)], [np.float64(0.029054164886475053), np.float64(33.27325859085904), np.float64(-0.001093626022337979)], [np.float64(0.04648375511169389), np.float64(21.0598339926517), np.float64(0.01742959022521884)], [np.float64(0.12020206451416016), np.float64(8.25068454079979), np.float64(0.07371830940246626)], [np.float64(0.02420139312744185), np.float64(39.680346040517016), np.float64(-0.0960006713867183)], [np.float64(0.001684427261352095), np.float64(372.5189407800601), np.float64(-0.022516965866089755)], [np.float64(0.025801420211791992), np.float64(37.31145559070126), np.float64(0.024116992950439897)], [np.float64(0.1951456069946289), np.float64(5.09825336046085), np.float64(0.16934418678283691)], [np.float64(0.0359499454498291), np.float64(27.063639413427744), np.float64(-0.1591956615447998)], [np.float64(0.13189935684204102), np.float64(7.524490891167825), np.float64(0.09594941139221191)], [np.float64(0.07707023620605469), np.float64(12.8089787939241), np.float64(-0.05482912063598633)], [np.float64(0.02886676788330078), np.float64(33.48202938822596), np.float64(-0.048203468322753906)], [np.float64(0.00402379035949707), np.float64(199.05289202794472), np.float64(-0.02484297752380371)], [np.float64(0.007188558578491211), np.float64(122.1216152286787), np.float64(0.0031647682189941406)], [np.float64(0.02025771141052246), np.float64(47.04175255220583), np.float64(0.01306915283203125)], [np.float64(0.004088401794433594), np.float64(196.5253610856635), np.float64(-0.016169309616088867)], [np.float64(0.02919602394104004), np.float64(33.11694287806149), np.float64(0.025107622146606445)], [np.float64(0.03180289268493652), np.float64(30.485116346437696), np.float64(0.0026068687438964844)], [np.float64(0.029535770416259766), np.float64(32.74847781366333), np.float64(-0.002267122268676758)], [np.float64(0.02599930763244629), np.float64(37.03798681112306), np.float64(-0.0035364627838134766)], [np.float64(0.03104114532470703), np.float64(31.209870616856406), np.float64(0.005041837692260742)], [np.float64(0.0008845329284667969), np.float64(530.6354613891368), np.float64(-0.030156612396240234)], [np.float64(0.03172135353088379), np.float64(30.561082965475677), np.float64(0.030836820602416992)]]",low
"[[np.float64(0.0359499454498291), np.float64(27.063639413427744), np.float64(0.0359499454498291)], [np.float64(0.13189935684204102), np.float64(7.524490891167825), np.float64(0.09594941139221191)], [np.float64(0.07707023620605469), np.float64(12.8089787939241), np.float64(-0.05482912063598633)], [np.float64(0.02886676788330078), np.float64(33.48202938822596), np.float64(-0.048203468322753906)], [np.float64(0.00402379035949707), np.float64(199.05289202794472), np.float64(-0.02484297752380371)], [np.float64(0.007188558578491211), np.float64(122.1216152286787), np.float64(0.0031647682189941406)], [np.float64(0.02025771141052246), np.float64(47.04175255220583), np.float64(0.01306915283203125)], [np.float64(0.004088401794433594), np.float64(196.5253610856635), np.float64(-0.016169309616088867)], [np.float64(0.02919602394104004), np.float64(33.11694287806149), np.float64(0.025107622146606445)], [np.float64(0.03180289268493652), np.float64(30.485116346437696), np.float64(0.0026068687438964844)], [np.float64(0.029535770416259766), np.float64(32.74847781366333), np.float64(-0.002267122268676758)], [np.float64(0.02599930763244629), np.float64(37.03798681112306), np.float64(-0.0035364627838134766)], [np.float64(0.03104114532470703), np.float64(31.209870616856406), np.float64(0.005041837692260742)], [np.float64(0.0008845329284667969), np.float64(530.6354613891368), np.float64(-0.030156612396240234)], [np.float64(0.03172135353088379), np.float64(30.561082965475677), np.float64(0.030836820602416992)], [np.float64(0.03632807731628418), np.float64(26.789485874852577), np.float64(0.004606723785400391)], [np.float64(0.026861906051635742), np.float64(35.89129897095791), np.float64(-0.009466171264648438)], [np.float64(0.03401780128479004), np.float64(28.556904297539358), np.float64(0.007155895233154297)], [np.float64(0.027170419692993164), np.float64(35.49822867029312), np.float64(-0.006847381591796875)], [np.float64(0.030379056930541992), np.float64(31.868389232140238), np.float64(0.003208637237548828)], [np.float64(0.02288508415222168), np.float64(41.867133212799864), np.float64(-0.0074939727783203125)], [np.float64(0.009300708770751953), np.float64(97.0806982563589), np.float64(-0.013584375381469727)], [np.float64(0.01584768295288086), np.float64(59.355342974863234), np.float64(0.006546974182128906)], [np.float64(0.041860342025756836), np.float64(23.331591693763247), np.float64(0.026012659072875977)], [np.float64(0.020579814910888672), np.float64(46.33960041498888), np.float64(-0.021280527114868164)], [np.float64(0.030857563018798828), np.float64(31.389720532292756), np.float64(0.010277748107910156)], [np.float64(0.0318455696105957), np.float64(30.445506406361982), np.float64(0.000988006591796875)], [np.float64(0.037325382232666016), np.float64(26.092368601288634), np.float64(0.0054798126220703125)], [np.float64(0.024814605712890625), np.float64(38.737759976734644), np.float64(-0.01251077651977539)], [np.float64(0.04660940170288086), np.float64(21.004254710881813), np.float64(0.021794795989990234)]]",low
"[[np.float64(0.03632807731628418), np.float64(26.789485874852577), np.float64(0.03632807731628418)], [np.float64(0.026861906051635742), np.float64(35.89129897095791), np.float64(-0.009466171264648438)], [np.float64(0.03401780128479004), np.float64(28.556904297539358), np.float64(0.007155895233154297)], [np.float64(0.027170419692993164), np.float64(35.49822867029312), np.float64(-0.006847381591796875)], [np.float64(0.030379056930541992), np.float64(31.868389232140238), np.float64(0.003208637237548828)], [np.float64(0.02288508415222168), np.float64(41.867133212799864), np.float64(-0.0074939727783203125)], [np.float64(0.009300708770751953), np.float64(97.0806982563589), np.float64(-0.013584375381469727)], [np.float64(0.01584768295288086), np.float64(59.355342974863234), np.float64(0.006546974182128906)], [np.float64(0.041860342025756836), np.float64(23.331591693763247), np.float64(0.026012659072875977)], [np.float64(0.020579814910888672), np.float64(46.33960041498888), np.float64(-0.021280527114868164)], [np.float64(0.030857563018798828), np.float64(31.389720532292756), np.float64(0.010277748107910156)], [np.float64(0.0318455696105957), np.float64(30.445506406361982), np.float64(0.000988006591796875)], [np.float64(0.037325382232666016), np.float64(26.092368601288634), np.float64(0.0054798126220703125)], [np.float64(0.024814605712890625), np.float64(38.737759976734644), np.float64(-0.01251077651977539)], [np.float64(0.04660940170288086), np.float64(21.004254710881813), np.float64(0.021794795989990234)], [np.float64(0.19963693618774414), np.float64(4.984127145284253), np.float64(0.15302753448486328)], [np.float64(0.025449514389038086), np.float64(37.8078775016923), np.float64(-0.17418742179870605)], [np.float64(0.07049012184143066), np.float64(13.987946505645345), np.float64(0.04504060745239258)], [np.float64(0.040849924087524414), np.float64(23.894905947944192), np.float64(-0.02964019775390625)], [np.float64(0.01791667938232422), np.float64(52.86340058892164), np.float64(-0.022933244705200195)], [np.float64(0.1305980682373047), np.float64(7.598895739082936), np.float64(0.11268138885498047)], [np.float64(0.024996519088745117), np.float64(38.46668842802643), np.float64(-0.10560154914855957)], [np.float64(0.22971439361572266), np.float64(4.334363297963965), np.float64(0.20471787452697754)], [np.float64(0.05248570442199707), np.float64(18.696584644564012), np.float64(-0.17722868919372559)], [np.float64(0.015418291091918945), np.float64(60.90767878346354), np.float64(-0.037067413330078125)], [np.float64(0.05502462387084961), np.float64(17.849294308610503), np.float64(0.039606332778930664)], [np.float64(0.09536504745483398), np.float64(10.37720653298798), np.float64(0.040340423583984375)], [np.float64(0.04506731033325195), np.float64(21.707366737193414), np.float64(-0.05029773712158203)], [np.float64(0.00751495361328125), np.float64(117.44045187048863), np.float64(-0.0375523567199707)], [np.float64(0.00022482872009277344), np.float64(816.4406856203176), np.float64(-0.0072901248931884766)]]",low
"[[np.float64(0.19963693618774414), np.float64(4.984127145284253), np.float64(0.19963693618774414)], [np.float64(0.025449514389038086), np.float64(37.8078775016923), np.float64(-0.17418742179870605)], [np.float64(0.07049012184143066), np.float64(13.987946505645345), np.float64(0.04504060745239258)], [np.float64(0.040849924087524414), np.float64(23.894905947944192), np.float64(-0.02964019775390625)], [np.float64(0.01791667938232422), np.float64(52.86340058892164), np.float64(-0.022933244705200195)], [np.float64(0.1305980682373047), np.float64(7.598895739082936), np.float64(0.11268138885498047)], [np.float64(0.024996519088745117), np.float64(38.46668842802643), np.float64(-0.10560154914855957)], [np.float64(0.22971439361572266), np.float64(4.334363297963965), np.float64(0.20471787452697754)], [np.float64(0.05248570442199707), np.float64(18.696584644564012), np.float64(-0.17722868919372559)], [np.float64(0.015418291091918945), np.float64(60.90767878346354), np.float64(-0.037067413330078125)], [np.float64(0.05502462387084961), np.float64(17.849294308610503), np.float64(0.039606332778930664)], [np.float64(0.09536504745483398), np.float64(10.37720653298798), np.float64(0.040340423583984375)], [np.float64(0.04506731033325195), np.float64(21.707366737193414), np.float64(-0.05029773712158203)], [np.float64(0.00751495361328125), np.float64(117.44045187048863), np.float64(-0.0375523567199707)], [np.float64(0.00022482872009277344), np.float64(816.4406856203176), np.float64(-0.0072901248931884766)], [np.float64(0.14372491836547852), np.float64(6.909660142109513), np.float64(0.14350008964538574)], [np.float64(0.0379328727722168), np.float64(25.685235349846007), np.float64(-0.10579204559326172)], [np.float64(0.053397178649902344), np.float64(18.38330635557319), np.float64(0.015464305877685547)], [np.float64(0.0585019588470459), np.float64(16.806169399743165), np.float64(0.005104780197143555)], [np.float64(0.06411051750183105), np.float64(15.35850179614803), np.float64(0.005608558654785156)], [np.float64(0.049396514892578125), np.float64(19.842641939259764), np.float64(-0.01471400260925293)], [np.float64(0.02267169952392578), np.float64(42.24453757489049), np.float64(-0.026724815368652344)], [np.float64(0.012013673782348633), np.float64(76.84225198240107), np.float64(-0.010658025741577148)], [np.float64(0.016329050064086914), np.float64(57.706567659609966), np.float64(0.004315376281738281)], [np.float64(0.08019900321960449), np.float64(12.315422115410431), np.float64(0.06386995315551758)], [np.float64(0.06107640266418457), np.float64(16.10918089776741), np.float64(-0.019122600555419922)], [np.float64(0.004647970199584961), np.float64(177.05475855263623), np.float64(-0.05642843246459961)], [np.float64(0.04794049263000488), np.float64(20.43297781164775), np.float64(0.04329252243041992)], [np.float64(0.028759002685546875), np.float64(33.60327664763014), np.float64(-0.019181489944458008)], [np.float64(0.11865806579589844), np.float64(8.35714661898101), np.float64(0.08989906311035156)]]",low
"[[np.float64(0.14372491836547852), np.float64(6.909660142109513), np.float64(0.14372491836547852)], [np.float64(0.0379328727722168), np.float64(25.685235349846007), np.float64(-0.10579204559326172)], [np.float64(0.053397178649902344), np.float64(18.38330635557319), np.float64(0.015464305877685547)], [np.float64(0.0585019588470459), np.float64(16.806169399743165), np.float64(0.005104780197143555)], [np.float64(0.06411051750183105), np.float64(15.35850179614803), np.float64(0.005608558654785156)], [np.float64(0.049396514892578125), np.float64(19.842641939259764), np.float64(-0.01471400260925293)], [np.float64(0.02267169952392578), np.float64(42.24453757489049), np.float64(-0.026724815368652344)], [np.float64(0.012013673782348633), np.float64(76.84225198240107), np.float64(-0.010658025741577148)], [np.float64(0.016329050064086914), np.float64(57.706567659609966), np.float64(0.004315376281738281)], [np.float64(0.08019900321960449), np.float64(12.315422115410431), np.float64(0.06386995315551758)], [np.float64(0.06107640266418457), np.float64(16.10918089776741), np.float64(-0.019122600555419922)], [np.float64(0.004647970199584961), np.float64(177.05475855263623), np.float64(-0.05642843246459961)], [np.float64(0.04794049263000488), np.float64(20.43297781164775), np.float64(0.04329252243041992)], [np.float64(0.028759002685546875), np.float64(33.60327664763014), np.float64(-0.019181489944458008)], [np.float64(0.11865806579589844), np.float64(8.35714661898101), np.float64(0.08989906311035156)], [np.float64(0.045467376708984375), np.float64(21.52047459581793), np.float64(-0.07319068908691406)], [np.float64(0.006360769271850586), np.float64(135.85536552874288), np.float64(-0.03910660743713379)], [np.float64(0.17958903312683105), np.float64(5.537434819187948), np.float64(0.17322826385498047)], [np.float64(0.003596782684326172), np.float64(217.54345782099702), np.float64(-0.17599225044250488)], [np.float64(0.031725406646728516), np.float64(30.557297906028243), np.float64(0.028128623962402344)], [np.float64(0.04993700981140137), np.float64(19.63209076666623), np.float64(0.01821160316467285)], [np.float64(0.06501913070678711), np.float64(15.147124618185783), np.float64(0.015082120895385742)], [np.float64(0.0412750244140625), np.float64(23.654628562848487), np.float64(-0.02374410629272461)], [np.float64(0.10969161987304599), np.float64(9.034107560689023), np.float64(0.06841659545898349)], [np.float64(0.0009372234344491304), np.float64(516.2027168458038), np.float64(-0.10875439643859686)], [np.float64(0.10791277885437012), np.float64(9.181659035044216), np.float64(0.10697555541992099)], [np.float64(0.05522036552429199), np.float64(17.78714867244886), np.float64(-0.052692413330078125)], [np.float64(0.21286439895629883), np.float64(4.675860053754625), np.float64(0.15764403343200684)], [np.float64(0.13161468505859375), np.float64(7.540643025756653), np.float64(-0.08124971389770508)], [np.float64(0.027990341186523438), np.float64(34.49424736211328), np.float64(-0.10362434387207031)]]",low
"[[np.float64(0.045467376708984375), np.float64(21.52047459581793), np.float64(0.045467376708984375)], [np.float64(0.006360769271850586), np.float64(135.85536552874288), np.float64(-0.03910660743713379)], [np.float64(0.17958903312683105), np.float64(5.537434819187948), np.float64(0.17322826385498047)], [np.float64(0.003596782684326172), np.float64(217.54345782099702), np.float64(-0.17599225044250488)], [np.float64(0.031725406646728516), np.float64(30.557297906028243), np.float64(0.028128623962402344)], [np.float64(0.04993700981140137), np.float64(19.63209076666623), np.float64(0.01821160316467285)], [np.float64(0.06501913070678711), np.float64(15.147124618185783), np.float64(0.015082120895385742)], [np.float64(0.0412750244140625), np.float64(23.654628562848487), np.float64(-0.02374410629272461)], [np.float64(0.10969161987304599), np.float64(9.034107560689023), np.float64(0.06841659545898349)], [np.float64(0.0009372234344491304), np.float64(516.2027168458038), np.float64(-0.10875439643859686)], [np.float64(0.10791277885437012), np.float64(9.181659035044216), np.float64(0.10697555541992099)], [np.float64(0.05522036552429199), np.float64(17.78714867244886), np.float64(-0.052692413330078125)], [np.float64(0.21286439895629883), np.float64(4.675860053754625), np.float64(0.15764403343200684)], [np.float64(0.13161468505859375), np.float64(7.540643025756653), np.float64(-0.08124971389770508)], [np.float64(0.027990341186523438), np.float64(34.49424736211328), np.float64(-0.10362434387207031)], [np.float64(0.17466950416564941), np.float64(5.692507670864941), np.float64(0.14667916297912598)], [np.float64(0.05148720741271973), np.float64(19.052261480340455), np.float64(-0.12318229675292969)], [np.float64(0.11799883842468262), np.float64(8.403443371700854), np.float64(0.06651163101196289)], [np.float64(0.05513644218444824), np.float64(17.81374025653936), np.float64(-0.06286239624023438)], [np.float64(0.10021710395812988), np.float64(9.879753133558005), np.float64(0.04508066177368164)], [np.float64(0.018292903900146484), np.float64(51.83252895342558), np.float64(-0.0819242000579834)], [np.float64(0.02306509017944336), np.float64(41.55396853049027), np.float64(0.004772186279296875)], [np.float64(0.130723237991333), np.float64(7.5916749029946935), np.float64(0.10765814781188965)], [np.float64(0.009930849075317383), np.float64(91.48420155741327), np.float64(-0.12079238891601562)], [np.float64(0.06019854545593262), np.float64(16.340257640928286), np.float64(0.050267696380615234)], [np.float64(0.048438072204589844), np.float64(20.22732593337569), np.float64(-0.011760473251342773)], [np.float64(0.0631566047668457), np.float64(15.586859741629771), np.float64(0.01471853256225586)], [np.float64(0.04944276809692383), np.float64(19.82444734354266), np.float64(-0.013713836669921875)], [np.float64(0.04860353469848633), np.float64(20.159853649109312), np.float64(-0.0008392333984375)], [np.float64(0.049515485763549805), np.float64(19.795909806366048), np.float64(0.0009119510650634766)]]",low
"[[np.float64(0.17466950416564941), np.float64(5.692507670864941), np.float64(0.17466950416564941)], [np.float64(0.05148720741271973), np.float64(19.052261480340455), np.float64(-0.12318229675292969)], [np.float64(0.11799883842468262), np.float64(8.403443371700854), np.float64(0.06651163101196289)], [np.float64(0.05513644218444824), np.float64(17.81374025653936), np.float64(-0.06286239624023438)], [np.float64(0.10021710395812988), np.float64(9.879753133558005), np.float64(0.04508066177368164)], [np.float64(0.018292903900146484), np.float64(51.83252895342558), np.float64(-0.0819242000579834)], [np.float64(0.02306509017944336), np.float64(41.55396853049027), np.float64(0.004772186279296875)], [np.float64(0.130723237991333), np.float64(7.5916749029946935), np.float64(0.10765814781188965)], [np.float64(0.009930849075317383), np.float64(91.48420155741327), np.float64(-0.12079238891601562)], [np.float64(0.06019854545593262), np.float64(16.340257640928286), np.float64(0.050267696380615234)], [np.float64(0.048438072204589844), np.float64(20.22732593337569), np.float64(-0.011760473251342773)], [np.float64(0.0631566047668457), np.float64(15.586859741629771), np.float64(0.01471853256225586)], [np.float64(0.04944276809692383), np.float64(19.82444734354266), np.float64(-0.013713836669921875)], [np.float64(0.04860353469848633), np.float64(20.159853649109312), np.float64(-0.0008392333984375)], [np.float64(0.049515485763549805), np.float64(19.795909806366048), np.float64(0.0009119510650634766)], [np.float64(0.09531164169311523), np.float64(10.38296079705891), np.float64(0.04579615592956543)], [np.float64(0.26031970977783025), np.float64(3.826730103328921), np.float64(0.16500806808471502)], [np.float64(0.03126430511474787), np.float64(30.9940039447155), np.float64(-0.22905540466308238)], [np.float64(0.04440760612487615), np.float64(22.022742120557613), np.float64(0.013143301010128283)], [np.float64(0.06692147254944025), np.float64(14.722884567499577), np.float64(0.0225138664245641)], [np.float64(0.0645899772644043), np.float64(15.246231843759158), np.float64(-0.002331495285035956)], [np.float64(0.0018970966339111328), np.float64(345.1731600164065), np.float64(-0.06269288063049316)], [np.float64(0.06342554092407227), np.float64(15.521794394843106), np.float64(0.06152844429016113)], [np.float64(0.007678031921386719), np.float64(115.23350098949665), np.float64(-0.05574750900268555)], [np.float64(0.022030115127563477), np.float64(43.42140690400436), np.float64(0.014352083206176758)], [np.float64(0.0271604061126709), np.float64(35.51085151254426), np.float64(0.005130290985107422)], [np.float64(0.1858973503112793), np.float64(5.350530643342404), np.float64(0.1587369441986084)], [np.float64(0.0036568641662597656), np.float64(214.7367765727996), np.float64(-0.18224048614501953)], [np.float64(0.14229297637939453), np.float64(6.978709112387448), np.float64(0.13863611221313477)], [np.float64(0.07381939888000488), np.float64(13.365517699544698), np.float64(-0.06847357749938965)]]",low
